Unnamed: 0,system,snr,iinit,TE,TEinf,expr_model,method,data_version,exp_version,benchmark,duration,dM
0,lorenz,inf,0,9058.873228850596,9058.873228850596,"[['-7.668 1 + 3.396 y + -0.640 x^2 + -0.081 x*z + 0.001 z^3 + 0.016 y^2*z', '257.470 1 + 7.624 y + 58.233 z + -38.264 x^2 + -13.782 y^2 + -5.140 z^2 + 51.242 x*y + 16.335 x*z + -16.848 y*z + -0.401 x^3 + 2.734 y^3 + 0.071 z^3 + 3.595 x^2*y + 0.199 y^2*z + -6.659 y^2*x + -0.256 z^2*x + 0.369 z^2*y', '209.422 1 + 370.802 x + -89.582 y + -183.603 z + 49.074 x^2 + 14.547 y^2 + 13.006 z^2 + -55.937 x*y + -47.276 x*z + 23.302 y*z + -0.202 x^3 + -2.742 y^3 + -0.214 z^3 + -3.246 x^2*y + -0.175 y^2*z + 6.578 y^2*x + 0.829 z^2*x + -0.483 z^2*y']]",sindy,all,e1,custom,8.370787620544434,38
1,lorenz,30.0,0,9.234845850560248,9.33641837443951,"[['817.171 1 + 870.502 x + -217.463 y + -284.337 z + -63.749 x^2 + 13.978 y^2 + 12.803 z^2 + -24.159 x*z + 7.036 y*z + 1.160 x^3 + -0.384 y^3 + -0.144 z^3 + 1.330 x^2*z + -0.155 y^2*z + -0.070 z^2*y', '2173.480 1 + 2364.404 x + -740.324 y + -744.559 z + -39.331 x^2 + 40.506 z^2 + -22.744 x*y + -144.819 x*z + 62.533 y*z + -0.712 x^3 + -0.333 y^3 + -0.598 z^3 + 4.645 x^2*y + 0.641 x^2*z + 1.329 y^2*z + -3.248 y^2*x + 2.500 z^2*x + -1.584 z^2*y', '2064.418 1 + 2186.744 x + -693.413 y + -704.547 z + -71.923 x^2 + -3.070 y^2 + 36.735 z^2 + -120.456 x*z + 55.151 y*z + 0.395 y^3 + -0.514 z^3 + 5.723 x^2*y + 0.870 x^2*z + 1.349 y^2*z + -5.376 y^2*x + 1.995 z^2*x + -1.476 z^2*y']]",sindy,all,e1,custom,8.35439920425415,45
2,lorenz,13.0,0,6.199606292227689,7.310362669597993,"[['-44.774 1 + 3.632 y + 1.632 z + 0.182 x^2 + 0.154 y^2 + -0.049 z^2 + -0.013 x*z + -0.020 x^3 + 0.035 y^3 + 0.038 x^2*y + -0.002 x^2*z + -0.007 y^2*z + -0.089 y^2*x + 0.004 z^2*x', '-57.814 1 + 5.840 x + -0.313 y + 3.162 z + -0.006 y^2 + -0.107 x*y + -0.381 x*z + -0.022 x^3 + -0.001 z^3 + 0.055 x^2*y + 0.005 x^2*z + 0.005 y^2*z + -0.036 y^2*x + 0.003 z^2*x', '-0.996 1 + 6.337 x + -6.197 y + 0.193 x*y + 0.080 y*z + 0.014 x^3 + 0.002 y^3 + 0.001 z^3 + -0.019 x^2*y + -0.004 x^2*z + -0.010 y^2*x + -0.007 z^2*x + 0.002 z^2*y']]",sindy,all,e1,custom,5.776061773300171,38
3,lorenz,inf,1,7.395093019510657,7.395093019510657,"[['-24.670 1 + -9.200 x + 9.809 y + -0.416 x^2 + 0.149 y^2 + 0.266 x*z + 0.001 z^3 + 0.018 x^2*y + -0.024 y^2*x + -0.005 z^2*x', '-79.035 1 + -0.974 x + 7.177 y + 5.451 z + 0.040 y^2 + -0.012 y^3 + -0.003 z^3 + 0.008 x^2*z + -0.009 y^2*z + -0.008 z^2*x', '33.627 1 + 2.323 y + -7.241 z + 0.134 x^2 + 0.267 y^2 + 0.123 z^2 + 1.227 x*y + -0.010 x^2*y + -0.025 y^2*z + 0.004 y^2*x + -0.002 z^2*x']]",sindy,all,e1,custom,8.253223896026611,26
4,lorenz,30.0,1,15043458.975963162,15061113.241546154,"[['-11.021 1 + 6.702 y + -0.006 y^2 + -0.300 x*z + 0.030 x^3 + -0.004 x^2*z + -0.024 y^2*x + 0.005 z^2*y', '-69.835 1 + 6.190 x + 7.493 y + 1.769 z + 0.205 y^2 + -0.016 x^3 + -0.016 y^3 + -0.005 x^2*z + -0.011 y^2*z + -0.009 z^2*x', '-0.956 y + -3.362 z + -0.073 x^2 + 0.281 y^2 + 1.186 x*y + -0.023 x^3 + 0.002 z^3 + -0.017 y^2*z + 0.020 y^2*x']]",sindy,all,e1,custom,5.8761866092681885,24
5,lorenz,13.0,1,260543.53542783583,394464.6242834928,"[['-42.305 1 + 4.731 x + 1.069 y + -0.991 z + 0.492 y^2 + -0.392 x*y + 0.164 y*z + 0.021 x^3 + 0.002 z^3 + -0.010 y^2*z + -0.018 y^2*x + -0.008 z^2*x', '-64.265 1 + 20.759 x + -8.276 y + 2.561 z + -1.741 x^2 + 0.627 y^2 + -0.088 x*z + -0.051 x^3 + 0.079 y^3 + -0.001 z^3 + 0.293 x^2*y + -0.294 y^2*x', '-329.485 1 + -26.416 y + 51.267 z + -0.061 x^2 + -2.505 z^2 + 0.053 x*y + -0.015 x*z + 2.412 y*z + -0.008 x^3 + -0.013 y^3 + 0.037 z^3 + 0.005 y^2*z + 0.011 y^2*x + -0.045 z^2*y']]",sindy,all,e1,custom,8.387301683425903,31
6,lorenz,inf,2,3.8658561437306895,3.8658561437306895,"[['-8.134 1 + -14.012 x + 12.671 y + 0.368 z + 0.052 y^2 + 0.002 x^3 + -0.014 x^2*y + -0.002 y^2*z + 0.005 z^2*x + -0.002 z^2*y', '-11.156 1 + 30.151 x + -1.366 y + 0.793 z + -0.041 x^2 + 0.086 y^2 + -1.277 x*z + 0.108 y*z + 0.078 x^3 + -0.016 y^3 + -0.026 x^2*y + -0.004 y^2*z', '4.600 1 + 0.467 x + -1.769 z + 0.981 x^2 + 0.468 y^2 + -0.057 z^2 + -0.001 y*z + -0.009 x^3 + -0.014 y^2*z + 0.002 z^2*y']]",sindy,all,e1,custom,8.311252117156982,27
7,lorenz,30.0,2,4.123803013403626,4.138953358980707,"[['-7.204 1 + -9.513 x + 10.459 y + 0.255 z + 0.055 y^2 + -0.035 x*z + 0.037 x^3 + 0.003 y^3 + -0.040 x^2*y + -0.002 y^2*z', '-16.269 1 + 8.505 x + 11.435 y + 1.074 z + -0.086 x^2 + 0.112 y^2 + -0.411 x*z + -0.500 y*z + -0.033 x^3 + -0.023 y^3 + 0.051 x^2*y + -0.003 y^2*z + 0.007 z^2*y', '28.587 1 + -4.174 z + 0.690 x^2 + 0.376 y^2 + -0.040 x^3 + -0.021 y^3 + -0.006 y^2*z + 0.046 y^2*x + 0.003 z^2*x + 0.001 z^2*y']]",sindy,all,e1,custom,6.059984683990479,28
8,lorenz,13.0,2,307114.8071726899,328948.3024350073,"[['-45.231 1 + -4.769 x + 9.263 y + 3.029 z + 0.317 x^2 + 0.047 y^2 + -0.232 x*y + -0.393 x*z + 0.005 x^3 + -0.034 y^3 + -0.002 z^3 + -0.060 x^2*y + 0.002 x^2*z + 0.084 y^2*x + 0.011 z^2*x + -0.003 z^2*y', '-45.149 1 + -1.864 x + 9.904 y + 3.448 z + 0.100 y^2 + -0.351 x*y + -0.240 x*z + -0.091 y*z + -0.025 x^3 + -0.015 y^3 + -0.002 z^3 + 0.027 x^2*y + 0.004 x^2*z + 0.002 y^2*z + 0.005 z^2*x + -0.003 z^2*y', '-51.291 1 + -6.393 x + 4.945 y + 2.440 z + -0.557 x^2 + 0.229 y^2 + 0.919 x*y + 0.246 x*z + -0.433 y*z + 0.004 x^3 + -0.004 y^3 + -0.002 z^3 + -0.071 x^2*y + 0.026 x^2*z + -0.020 y^2*z + 0.048 y^2*x + 0.009 z^2*y']]",sindy,all,e1,custom,5.083628416061401,42
9,lorenz,inf,3,441547.285407581,441547.285407581,"[['3422.754 1 + 1220.772 x + -307.055 y + -670.564 z + 49.154 x^2 + -0.582 y^2 + 37.980 z^2 + -22.344 x*y + -117.056 x*z + 33.159 y*z + -2.150 x^3 + -0.804 y^3 + -0.629 z^3 + -0.236 x^2*y + -0.092 y^2*z + 2.257 y^2*x + 2.208 z^2*x + -0.639 z^2*y', '-14.546 1 + 25.320 x + 0.798 y + -0.127 z + 1.204 x^2 + 0.063 y^2 + 0.270 z^2 + -0.543 x*y + -2.034 x*z + 0.160 y*z + -0.008 z^3 + -0.007 y^2*z + -0.005 y^2*x + 0.025 z^2*x', '9176.835 1 + 3374.844 x + -691.155 y + -1952.197 z + 160.106 x^2 + 46.933 y^2 + 116.737 z^2 + -134.035 x*y + -322.027 x*z + 68.917 y*z + -6.055 x^3 + -4.502 y^3 + -2.060 z^3 + -4.998 x^2*y + 1.034 x^2*z + -1.431 y^2*z + 12.856 y^2*x + 6.017 z^2*x + -0.948 z^2*y']]",sindy,all,e1,custom,8.31695294380188,44
10,lorenz,30.0,3,362286.6724238641,361300.1797808893,"[['-40.604 1 + -7.650 x + 6.403 y + 4.604 z + 0.444 x^2 + 0.005 y^2 + -0.073 z^2 + -0.545 x*z + 0.191 y*z + -0.001 z^3 + -0.008 y^2*z + 0.012 z^2*x', '567.483 1 + 202.530 x + -27.533 y + -109.822 z + 5.830 z^2 + 1.100 x*y + -15.121 x*z + 2.181 y*z + -0.106 x^3 + -0.094 z^3 + 0.084 x^2*z + -0.058 y^2*z + -0.011 y^2*x + 0.243 z^2*x + -0.015 z^2*y', '-7.348 x + -0.452 y + 10.850 z + 0.653 y^2 + -0.927 z^2 + -1.000 x*y + 0.704 x*z + -0.152 y^3 + 0.019 z^3 + 0.014 x^2*y + -0.010 x^2*z + 0.264 y^2*x + -0.019 z^2*x']]",sindy,all,e1,custom,8.411491632461548,33
11,lorenz,13.0,3,711379.5389640538,969250.6371202728,"[['-5.233 1 + 4.556 y + 0.023 y^2 + -0.440 x*y + -0.158 x*z + -0.027 x^3 + 0.105 x^2*y + 0.008 x^2*z + -0.065 y^2*x + -0.001 z^2*x + 0.001 z^2*y', '-38.974 1 + 10.763 y + 1.779 z + -0.921 x^2 + 0.242 y^2 + 0.018 z^2 + -0.439 x*y + -0.319 y*z + -0.034 y^3 + 0.066 x^2*y + 0.029 x^2*z + -0.005 z^2*x', '17.490 1 + 12.222 x + 1.365 y + -3.411 z + -2.307 x^2 + 0.714 y^2 + -0.007 x^3 + -0.031 y^3 + 0.003 z^3 + 0.075 x^2*y + 0.046 x^2*z + 0.003 y^2*z + -0.002 z^2*x + -0.016 z^2*y']]",sindy,all,e1,custom,8.28275442123413,38
