trA, trB, trA+B, trA*B, trB*A
10, 11, 21, 210, 210
15, 19, 34, 362, 362
14, 12, 26, 102, 102
6, 16, 22, 231, 231
9, 15, 24, 175, 175
11, 22, 33, 197, 197
26, 14, 40, 221, 221
20, 8, 28, 197, 197
20, 18, 38, 312, 312
16, 20, 36, 207, 207
10, 15, 25, 183, 183
19, 15, 34, 149, 149
16, 21, 37, 226, 226
21, 13, 34, 253, 253
21, 14, 35, 235, 235
21, 13, 34, 193, 193
15, 11, 26, 176, 176
7, 23, 30, 167, 167
0, 16, 16, 247, 247
15, 15, 30, 192, 192
17, 13, 30, 176, 176
13, 15, 28, 152, 152
12, 12, 24, 83, 83
18, 18, 36, 312, 312
20, 22, 42, 350, 350
17, 23, 40, 255, 255
15, 22, 37, 220, 220
22, 10, 32, 248, 248
20, 13, 33, 190, 190
11, 12, 23, 340, 340
28, 20, 48, 386, 386
18, 17, 35, 128, 128
16, 15, 31, 245, 245
15, 14, 29, 197, 197
13, 17, 30, 202, 202
15, 27, 42, 211, 211
19, 10, 29, 196, 196
12, 14, 26, 277, 277
20, 14, 34, 248, 248
19, 10, 29, 114, 114
11, 11, 22, 162, 162
15, 16, 31, 136, 136
17, 16, 33, 158, 158
23, 4, 27, 207, 207
10, 24, 34, 178, 178
15, 19, 34, 312, 312
21, 10, 31, 252, 252
23, 25, 48, 345, 345
8, 10, 18, 116, 116
9, 20, 29, 185, 185
10, 5, 15, 243, 243
10, 9, 19, 206, 206
14, 15, 29, 162, 162
7, 13, 20, 193, 193
11, 19, 30, 233, 233
16, 16, 32, 284, 284
13, 21, 34, 215, 215
13, 15, 28, 220, 220
9, 9, 18, 139, 139
15, 16, 31, 226, 226
25, 8, 33, 261, 261
17, 12, 29, 126, 126
22, 13, 35, 225, 225
25, 13, 38, 311, 311
14, 16, 30, 192, 192
4, 10, 14, 189, 189
12, 17, 29, 261, 261
14, 13, 27, 136, 136
13, 15, 28, 195, 195
22, 5, 27, 129, 129
27, 23, 50, 357, 357
16, 15, 31, 209, 209
15, 20, 35, 337, 337
17, 17, 34, 326, 326
14, 15, 29, 327, 327
18, 20, 38, 281, 281
11, 14, 25, 217, 217
10, 15, 25, 230, 230
12, 20, 32, 211, 211
21, 9, 30, 262, 262
12, 19, 31, 165, 165
20, 24, 44, 238, 238
15, 10, 25, 321, 321
7, 19, 26, 134, 134
19, 21, 40, 228, 228
10, 21, 31, 258, 258
5, 16, 21, 85, 85
20, 13, 33, 207, 207
16, 5, 21, 237, 237
6, 13, 19, 420, 420
15, 14, 29, 170, 170
19, 19, 38, 364, 364
15, 20, 35, 228, 228
8, 18, 26, 328, 328
21, 18, 39, 369, 369
13, 14, 27, 177, 177
15, 21, 36, 300, 300
19, 20, 39, 332, 332
11, 8, 19, 150, 150
19, 10, 29, 190, 190

